"id","name","field","created_at","updated_at","published_at","created_by_id","updated_by_id","description","status","url"
1,Xã hội,xa-hoi,"2023-05-19 17:00:09.736000","2023-05-23 10:13:01.856000","2023-05-19 17:00:09.736000",,1,,1,"[{""path"": ""https://dantri.com.vn/xa-hoi.htm"", ""type"": ""dan_tri""}, {""path"": ""https://zingnews.vn/thoi-su.html"", ""type"": ""zing_news""}]"
2,Thế giới,the-gioi,"2023-05-07 16:29:46.326000","2023-05-26 09:24:42.126000","2023-05-07 16:29:47.158000",1,1,tổng hợp tin tức trên thế giới,1,"[{""path"": ""https://zingnews.vn/the-gioi.html"", ""type"": ""zing_news""}, {""path"": ""https://dantri.com.vn/the-gioi.htm"", ""type"": ""dan_tri""}]"
4,Chính trị,chinh-tri,"2023-05-07 16:34:49.536000","2023-05-23 10:13:08.924000","2023-05-07 16:34:50.354000",1,1,,1,"[{""path"": ""https://dantri.com.vn/xa-hoi/chinh-tri.htm"", ""type"": ""dan_tri""}]"
5,Giao Thông,giao-thong,"2023-05-22 23:51:14.727000","2023-05-23 10:12:55.432000","2023-05-22 23:51:23.851000",1,1,,1,"[{""path"": ""https://dantri.com.vn/xa-hoi/giao-thong.htm"", ""type"": ""dan_tri""}]"
6,Kinh Doanh,kinh-doanh,"2023-05-22 23:53:59.024000","2023-05-23 10:12:48.240000","2023-05-22 23:54:02.878000",1,1,,1,"[{""path"": ""https://dantri.com.vn/kinh-doanh.htm"", ""type"": ""dan_tri""}]"
7,Thể Thao,the-thao,"2023-05-22 23:55:23.057000","2023-05-23 10:12:40.269000","2023-05-22 23:55:58.376000",1,1,,1,"[{""path"": ""https://dantri.com.vn/the-thao.htm"", ""type"": ""dan_tri""}]"
8,Bất Động Sản,bat-dong-san,"2023-05-23 00:11:06.913000","2023-05-23 10:12:33.327000","2023-05-23 00:11:07.829000",1,1,,1,"[{""path"": ""https://dantri.com.vn/bat-dong-san.htm"", ""type"": ""dan_tri""}]"
10,Việc Làm,viec-lam,"2023-05-23 00:13:16.358000","2023-05-23 10:12:22.486000","2023-05-23 00:13:17.085000",1,1,,1,"[{""path"": ""https://dantri.com.vn/lao-dong-viec-lam.htm"", ""type"": ""dan_tri""}]"
11,Nhân Ái,nhan-ai-tu-thien,"2023-05-23 00:14:05.649000","2023-05-23 10:12:15.370000","2023-05-23 00:14:06.721000",1,1,,1,"[{""path"": ""https://dantri.com.vn/tam-long-nhan-ai.htm"", ""type"": ""dan_tri""}]"
12,Sức Khỏe,suc-khoe,"2023-05-23 00:15:16.525000","2023-05-23 10:12:02.837000","2023-05-23 00:15:17.276000",1,1,,1,"[{""path"": ""https://dantri.com.vn/suc-khoe.htm"", ""type"": ""dan_tri""}]"
13,Văn Hóa,van-hoa,"2023-05-23 00:15:43.762000","2023-05-23 10:11:55.753000","2023-05-23 00:16:06.952000",1,1,,1,"[{""path"": ""https://dantri.com.vn/van-hoa.htm"", ""type"": ""dan_tri""}]"
14,Giải Trí,giai-tri,"2023-05-23 00:16:29.901000","2023-05-23 10:11:49.757000","2023-05-23 00:16:30.916000",1,1,,1,"[{""path"": ""https://dantri.com.vn/giai-tri.htm"", ""type"": ""dan_tri""}]"
15,Xe,xe-phuong-tien,"2023-05-23 00:16:50.486000","2023-05-23 10:11:43.974000","2023-05-23 00:16:51.215000",1,1,,1,"[{""path"": ""https://dantri.com.vn/o-to-xe-may.htm"", ""type"": ""dan_tri""}]"
16,Sức mạnh số,suc-manh-so,"2023-05-23 00:17:21.999000","2023-05-23 10:11:35.111000","2023-05-23 00:17:22.765000",1,1,,1,"[{""path"": ""https://dantri.com.vn/suc-manh-so.htm"", ""type"": ""dan_tri""}]"
17,Giáo Dục,giao-duc,"2023-05-23 00:17:50.605000","2023-05-23 10:11:26.250000","2023-05-23 00:17:51.324000",1,1,,1,"[{""path"": ""https://dantri.com.vn/giao-duc-huong-nghiep.htm"", ""type"": ""dan_tri""}]"
18,An Ninh,an-ninh,"2023-05-23 00:18:34.064000","2023-05-23 10:11:20.113000","2023-05-23 00:18:34.724000",1,1,,1,"[{""path"": ""https://dantri.com.vn/an-sinh.htm"", ""type"": ""dan_tri""}]"
19,Pháp Luật,phap-luat,"2023-05-23 00:19:11.481000","2023-05-23 10:11:14.288000","2023-05-23 00:19:12.136000",1,1,,1,"[{""path"": ""https://dantri.com.vn/phap-luat.htm"", ""type"": ""dan_tri""}]"
20,Du lịch,du-lich,"2023-05-23 00:19:43.339000","2023-05-23 10:11:04.208000","2023-05-23 00:19:44.071000",1,1,,1,"[{""path"": ""https://dantri.com.vn/du-lich.htm"", ""type"": ""dan_tri""}]"
21,Đời Sống,doi-song,"2023-05-23 00:20:24.593000","2023-05-23 10:10:58.646000","2023-05-23 00:20:25.326000",1,1,,1,"[{""path"": ""https://dantri.com.vn/doi-song.htm"", ""type"": ""dan_tri""}]"
22,Tình Yêu,tinh-yeu-tinh-duc,"2023-05-23 00:20:58.670000","2023-05-23 10:10:52.602000","2023-05-23 00:20:59.419000",1,1,,1,"[{""path"": ""https://dantri.com.vn/tinh-yeu-gioi-tinh.htm"", ""type"": ""dan_tri""}]"
